年度,歲出性質,主管機關,款,科目,金額
114,經常門,議會,01,議會經常門,883674000
114,資本門,議會,01,議會資本門,30358000
114,經常門,市政府,02,市政府經常門,4834417000
114,資本門,市政府,02,市政府資本門,1348443000
114,經常門,民政局,03,民政局經常門,2620162000
114,資本門,民政局,03,民政局資本門,540528000
114,經常門,財政局,04,財政局經常門,3202764000
114,資本門,財政局,04,財政局資本門,90911000
114,經常門,教育局,05,教育局經常門,59577322000
114,資本門,教育局,05,教育局資本門,8579170000
114,經常門,產業發展局,06,產業發展局經常門,1894541000
114,資本門,產業發展局,06,產業發展局資本門,3518156000
114,經常門,工務局,07,工務局經常門,6097582000
114,資本門,工務局,07,工務局資本門,15468070000
114,經常門,交通局,08,交通局經常門,6511794000
114,資本門,交通局,08,交通局資本門,1326078000
114,經常門,社會局,09,社會局經常門,20331632000
114,資本門,社會局,09,社會局資本門,843206000
114,經常門,勞動局,10,勞動局經常門,816192000
114,資本門,勞動局,10,勞動局資本門,790667000
114,經常門,警察局,11,警察局經常門,14305597000
114,資本門,警察局,11,警察局資本門,500659000
114,經常門,衛生局,12,衛生局經常門,5613984000
114,資本門,衛生局,12,衛生局資本門,62495000
114,經常門,環境保護局,13,環境保護局經常門,7795677000
114,資本門,環境保護局,13,環境保護局資本門,311092000
114,經常門,都市發展局,14,都市發展局經常門,1706456000
114,資本門,都市發展局,14,都市發展局資本門,615898000
114,經常門,文化局,15,文化局經常門,3071551000
114,資本門,文化局,15,文化局資本門,1110382000
114,經常門,消防局,16,消防局經常門,3270023000
114,資本門,消防局,16,消防局資本門,1209268000
114,經常門,臺北翡翠水庫管理局,17,臺北翡翠水庫管理局經常門,251086000
114,資本門,臺北翡翠水庫管理局,17,臺北翡翠水庫管理局資本門,65171000
114,經常門,觀光傳播局,18,觀光傳播局經常門,745903000
114,資本門,觀光傳播局,18,觀光傳播局資本門,13037000
114,經常門,地政局,19,地政局經常門,1303188000
114,資本門,地政局,19,地政局資本門,49422000
114,經常門,兵役局,20,兵役局經常門,190009000
114,資本門,兵役局,20,兵役局資本門,59659000
114,經常門,臺北自來水事業處,21,臺北自來水事業處經常門,8290000
114,資本門,臺北自來水事業處,21,臺北自來水事業處資本門,129920000
114,經常門,體育局,22,體育局經常門,2351294000
114,資本門,體育局,22,體育局資本門,766143000
114,經常門,資訊局,23,資訊局經常門,684604000
114,資本門,資訊局,23,資訊局資本門,249646000
114,經常門,法務局,24,法務局經常門,192647000
114,資本門,法務局,24,法務局資本門,721000
114,經常門,青年局,25,青年局經常門,487961000
114,資本門,青年局,25,青年局資本門,27039000
114,經常門,捷運工程局,26,捷運工程局經常門,815936000
114,資本門,捷運工程局,26,捷運工程局資本門,4866398000
114,經常門,統籌支撥科目,27,統籌支撥科目經常門,8190964000
114,資本門,統籌支撥科目,27,統籌支撥科目資本門,1050000000
114,經常門,第二預備金,28,第二預備金經常門,520000000
114,資本門,第二預備金,28,第二預備金資本門,220000000
115,經常門,議會,01,議會經常門,884783000
115,資本門,議會,01,議會資本門,76033000
115,經常門,市政府,02,市政府經常門,5162381000
115,資本門,市政府,02,市政府資本門,1910761000
115,經常門,民政局,03,民政局經常門,2937622000
115,資本門,民政局,03,民政局資本門,599291000
115,經常門,財政局,04,財政局經常門,3524777000
115,資本門,財政局,04,財政局資本門,114087000
115,經常門,教育局,05,教育局經常門,61716805000
115,資本門,教育局,05,教育局資本門,10721217000
115,經常門,產業發展局,06,產業發展局經常門,1980992000
115,資本門,產業發展局,06,產業發展局資本門,3191965000
115,經常門,工務局,07,工務局經常門,6519721000
115,資本門,工務局,07,工務局資本門,16610898000
115,經常門,交通局,08,交通局經常門,7103620000
115,資本門,交通局,08,交通局資本門,1100569000
115,經常門,社會局,09,社會局經常門,20942074000
115,資本門,社會局,09,社會局資本門,959488000
115,經常門,勞動局,10,勞動局經常門,842754000
115,資本門,勞動局,10,勞動局資本門,184641000
115,經常門,警察局,11,警察局經常門,14620540000
115,資本門,警察局,11,警察局資本門,611615000
115,經常門,衛生局,12,衛生局經常門,5652952000
115,資本門,衛生局,12,衛生局資本門,188938000
115,經常門,環境保護局,13,環境保護局經常門,8254867000
115,資本門,環境保護局,13,環境保護局資本門,260290000
115,經常門,都市發展局,14,都市發展局經常門,1876660000
115,資本門,都市發展局,14,都市發展局資本門,654442000
115,經常門,文化局,15,文化局經常門,3307005000
115,資本門,文化局,15,文化局資本門,1713230000
115,經常門,消防局,16,消防局經常門,3438761000
115,資本門,消防局,16,消防局資本門,993480000
115,經常門,臺北翡翠水庫管理局,17,臺北翡翠水庫管理局經常門,251585000
115,資本門,臺北翡翠水庫管理局,17,臺北翡翠水庫管理局資本門,98976000
115,經常門,觀光傳播局,18,觀光傳播局經常門,783314000
115,資本門,觀光傳播局,18,觀光傳播局資本門,3048000
115,經常門,地政局,19,地政局經常門,1338055000
115,資本門,地政局,19,地政局資本門,54308000
115,經常門,兵役局,20,兵役局經常門,198634000
115,資本門,兵役局,20,兵役局資本門,7184000
115,經常門,臺北自來水事業處,21,臺北自來水事業處經常門,8290000
115,資本門,臺北自來水事業處,21,臺北自來水事業處資本門,72620000
115,經常門,體育局,22,體育局經常門,1352021000
115,資本門,體育局,22,體育局資本門,1284017000
115,經常門,資訊局,23,資訊局經常門,784179000
115,資本門,資訊局,23,資訊局資本門,154051000
115,經常門,法務局,24,法務局經常門,196625000
115,資本門,法務局,24,法務局資本門,3420000
115,經常門,青年局,25,青年局經常門,448535000
115,資本門,青年局,25,青年局資本門,42710000
115,經常門,捷運工程局,26,捷運工程局經常門,913904000
115,資本門,捷運工程局,26,捷運工程局資本門,7969278000
115,經常門,統籌支撥科目,27,統籌支撥科目經常門,6890847000
115,資本門,統籌支撥科目,27,統籌支撥科目資本門,1720000000
115,經常門,第二預備金,28,第二預備金經常門,520000000
115,資本門,第二預備金,28,第二預備金資本門,220000000
